 Nature	 പ്രകൃതി
Disaster	അനര്ത്ഥം
Disaster	അനര്ഥം
Disqualification	അനര്ഹത
Anal	അനല
Analapakshi	അനലപക്ഷി
Analaprabha	അനലപ്രഭ
Unwilling	അനവകാംക്ഷ
It's awkward	അനവകാംക്ഷമാണ
അനവദ്യ	അനവദ്യ
Ignore	അനവധാനം
Opportunity	അനവസരം
Uncomfortable	അനവസ്ഥ
Anavamsi	അനവാംസി
Anasuya	അനസൂയ
Anahanadam	അനഹനാദം
The future	അനാഗത
Advent	അനാഗമനം
The rhythm of innocence	അനാഘത താളം
Unveiling	അനാച്ഛാദനം
Infinite grief	അനാത്മക ദുഃഖം
Anatomy	അനാത്മവാദം
Anathema	അനാത്മവാദി
Orphan	അനാഥന്‍
Orphanage	അനാഥമന്ദിരം
Orphanage	അനാഥാവസ്ഥ
Disrespect	അനാദരം
Disrespect	അനാദരവു്‌
Disrespect	അനാദരവ്
Anonymous	അനാമ
Anonymous	അനാമക്കാരന്‍
Anonymous	അനാമയം
Anonymous	അനാമിക
Anonymous	അനാമികാബന്ധനം
Anonymous	അനാമിഭാഷ
Illness	അനാരോഗ്യം
അനാര്യന്	അനാര്യന്
Analambi	അനാലംബി
Unveiling	അനാവരണം
Access to unwanted content	അനാവശ്യ കാര്യങ്ങളില്‍ പ്രവേശിക്കല്
Openness	അനാവ്രതം
Indiscipline	അനാശാസ്യം
Indifferent	അനാസ്ഥ
Anahata Chakra	അനാഹത ചക്രം
Fasting on the way to fasting	അനാഹാര മാർഗണ വ്രതം
അനികിനീ	അനികിനീ
Innovation	അനിഭാവം
Animation	അനിമിഷന്
Sister	അനിയത്തി
Aniruddhan	അനിരുദ്ധന്
Indefinite	അനിര്വൃതി
Rhythm	അനിഴം
Rhythm star	അനിഴം നക്ഷത്രം
The essential part	അനിവാര്യ ഭാഗം
Inevitability	അനിവാര്യത
Failure-argument	അനിവൃത്തി-വാദരം
Uncertainty	അനിശ്ചിതാവസ്ഥ
Negative thinking	അനിഷ്ട വിചാരം
Adverse event	അനിഷ്ട സംഭവം
Dislike	അനിഷ്ടം
Adverse event	അനിഷ്ടസംഭവം
അനീകം	അനീകം
Anikini	അനീകിനി
Injustice	അനീതി
Compassion	അനുകമ്പ
Imitation	അനുകരണം
Exemplary model	അനുകരണീയ മാതൃക
Imitation	അനുകരിക്കല്
Imitator	അനുകര്ത്താവ്
Adaptation	അനുകുലിക്കൽ
Positive circle	അനുകൂല വൃത്തം
In favor	അനുകൂലം
Compatibility	അനുകൂലത
Adaptation	അനുകൂലനം
Favorable	അനുകൂലമായ
Favorable conditions	അനുകൂലാവസ്ഥ
Favorable decoration	അനുകൂൽ അലങ്കാരം
Imitation decoration	അനുകൃതി അലങ്കാരം
Sequence	അനുക്രമം
Sequential	അനുക്രമണിക
Follow	അനുഗമിക്കുക
Follower	അനുഗാമി
Anugita	അനുഗീത
Consistency	അനുഗുണാലങ്കാരം
Blessing	അനുഗ്രഹം
Companion	അനുചരന്‍
Companion	അനുചാരി
Contemplation	അനുചിന്തനം
Anuja	അനുജ
Younger sister	അനുജത്തി
Brother	അനുജന്‍
അനുജ്ഞ	അനുജ്ഞ
Anujna decoration	അനുജ്ഞ അലങ്കാരം
Repentance	അനുതാപം
Approved	അനുത്തരിത്
അനുതർഷം	അനുതർഷം
Impressions are gained in a fluid, global, diffused way	അനുതർഷണം
Granted	അനുദയം
Persuasion	അനുനയം
Reconciliation	അനുനയിപ്പിക്കൽ
Nasal congestion	അനുനാസികത
Consent	അനുന്മാ ദം
Anupapur	അനുപപൂര്‍
Anupavitam	അനുപവീതം
Proportion	അനുപാതം
Proportion	അനുപാതകം
Proportion	അനുപാദകം
Proportion	അനുപാനം
Worship	അനുപാ‍സന
Complement	അനുപൂരണം
Rhyme	അനുപ്രാസം
Related Accounting Book	അനുബന്ധ കണക്ക്പുസ്തകം
Appendix	അനുബന്ധം
Appendix	അനുബന്ധപ്പട്ടിക
Appendix.	അനുബന്ധി.
Anubimbam	അനുബിംബം
Experience	അനുഭവം
Experience	അനുഭവജ്ഞാനം
Experience	അനുഭവപരിജ്ഞാനം
Experienced	അനുഭവസ്ഥന്
Experience	അനുഭവിക്കല്
Fan	അനുഭാവി
Feeling	അനുഭൂതി
Enjoyment	അനുഭോഗം
Permission	അനുമതി
Permit	അനുമതി പത്രം
Licensing	അനുമതിദാതാവ്
Disallowance	അനുമതിഹീനത
Echo	അനുമരണം
Assumption	അനുമാനം
Letter of congratulations	അനുമോദന കത്ത്
Congratulations	അനുമോദനം
Anumlocha	അനുമ്ലോച
Follower	അനുയായി
Suitable	അനുയോജ്യമായ
Reconciliation	അനുരഞ്ജനം
Reconciliation	അനുരസം
Affection	അനുരാഗം
Anuradha star	അനുരാധ നക്ഷത്രം
Sanction	അനുരോധം
Sanction.	അനുരോധം.
Anuloma marriage	അനുലോമവിവാഹം
അനുവചന്	അനുവചന്
Annual	അനുവത്സരം
Compliance	അനുവര്ത്തനം
Please	അനുവാക
Permission	അനുവാദം
Licensed	അനുവാദി
Permission	അനുവേധം
Consumption	അനുശയം
Order Mountain	അനുശാസന പർവ്വം
Instruction	അനുശാസനം
Practice	അനുശീലനം
Annexure	അനുഷംഗം
Anushtup	അനുഷ്ടുപ്
Practice	അനുഷ്ഠാനം
Exactly what needs to be done	അനുഷ്ഠികേണ്ട കൃത്യം
Obedience	അനുസരണം
Disobedience	അനുസരണകേട്
Obedient	അനുസരണയുള്ളവൻ
Obedience	അനുസരിക്കൽ
According to	അനുസാരി
Baptism	അനുസ്നാനം
Remembrance	അനുസ്മരണ
Remembrance	അനുസ്മരണം
Thanks	അനുസ്വാരം
Anokam	അനൂകം
Anoopapuram	അനൂപപുരം
Many	അനേകപം
അനൈകാന്തികഹേതു	അനൈകാന്തികഹേതു
Show disagreement.	അനൈക്യം കാണിക്കുക.
Involuntary activity	അനൈച്ചീകപ്രവര്‍ത്തനം
Involuntary activity	അനൈശ്ചീകപ്രവര്‍ത്തനം
Infertility	അനൈശ്വര്യം
Anodayanama	അനോദയാനാമ
Improper	അനൌചിത്യം
Anota	അനൌട്ട
And so on	അന്ത
The end	അന്തം
Conscience	അന്തഃകരണം
Harem	അന്തഃപുരം
Inner woman	അന്തഃപുരസ്ത്രീ
Endocrine system	അന്തഃസ്രാവ വ്യവസ്ഥ
Endocrine system	അന്തഃസ്രാവഗ്രന്ഥി വ്യവസ്ഥ
അന്തകന്	അന്തകന്
Anthakan	അന്തകന്‍
Anthapuram	അന്തപുരം
Inter	അന്തര
Difference	അന്തരം
Intimacy	അന്തരംഗം
Spacing	അന്തരാളം
Death	അന്തരിക്കല്‍
Atmospheric gas	അന്തരീക്ഷ വാതകം
Atmosphere	അന്തരീക്ഷം
Atmospheric conditions	അന്തരീക്ഷസ്ഥിതി
Intrinsic	അന്തര്ഗതം
Disappearance	അന്തര്ധാനം
Undercurrent	അന്തര്ധാര
The inner city	അന്തര്നതഗരം
Intrauterine	അന്തര്വ്വയത്നി
Intrinsic force	അന്തര്‍ ബലം
അന്തവസായി	അന്തവസായി
Dignity	അന്തസാരം
Dignity	അന്തസ്
Endocrine gland	അന്തസ്രാവി ഗ്രന്ഥി
Dignity Behavior	അന്തസ്സായപെരുമാറ്റം
Dignity	അന്തസ്സാരം
Dignity	അന്തസ്സ്
Antakshari	അന്താക്ഷരി
International Energy Agency	അന്താരാഷ്ട്ര ഊർജ്ജ ഏജന്സി
dusk	അന്തി
The final decision	അന്തിമ തീരുമാനം
The final journey	അന്തിമ യാത്ര
The final edict	അന്തിമശാസനം
The final light	അന്തിവെളിച്ചം
The end	അന്ത്യം
The ultimatum	അന്ത്യശാസനം
Sigh	അന്ത്യശ്വാസം
Antram	അന്ത്രം
Anthravedi	അന്ത്രവേദി
Intuition	അന്തർജ്ഞാനം
Intuition	അന്തർബോധം
Submarine	അന്തർവാഹിനി
Inhabitants of Andorra	അന്ദോറാ നിവാസികൾ
Andhra Pradesh	അന്ദ്രവേദഭൂമി
Blind	അന്ധ
Darkness	അന്ധകാരം
Lord of Darkness.	അന്ധകാരപ്രഭു.
Dark	അന്ധകാരി
The dark monster	അന്ധകാസുരന്‍
Blindness.	അന്ധകൂപം.
Blindness	അന്ധത
Blindness	അന്ധതമസം
Blind	അന്ധന്‍
Blind love	അന്ധമായപ്രേമം
Superstitions	അന്ധവിശ്വാസങ്ങള്‍
Superstitious	അന്ധവിശ്വാസി
Blind	അന്ധസ്സ്‌
Imitation	അന്ധാനുകരണം
Blinded	അന്ധാനുയായി
Andalip‌	അന്ധാളിപ്പ്‌
Blind	അന്ധു
Anna Dosha Shulam	അന്ന ദോഷ ശൂലം
Anna is bad	അന്ന ദോഷം
Nutrition	അന്നം
Nutrition.	അന്നം.
Annada Ekadashi	അന്നദ ഏകാദശി
Provider	അന്നദാതാവ്
Feeding	അന്നദാനം
Restaurant	അന്നദാനശാല
Bad food	അന്നദോഷം
അന്നനട	അന്നനട
The nanny	അന്നനടക്കാരി
Esophagus	അന്നനാളം
The beginning of the esophagus.	അന്നനാളത്തിന്റെ ആരംഭം.
Annapati	അന്നപതി
Annapurna	അന്നപൂര്ണ്ണ
Annapurna eclipse	അന്നപൂര്ണ്ണ ഗ്രഹണം
Annapoorneshwari	അന്നപൂര്ണ്ണേശ്വരി
Annapurna Upanishad	അന്നപൂര്‍ണ്ണ ഉപനിഷത്
അന്നപ്രാശം	അന്നപ്രാശം
That part	അന്നഭാഗം
Anaerobic tissue	അന്നമയ കോശം
അന്നരസം	അന്നരസം
Feeling nauseous	അന്നവികാരം
Food culture	അന്നസംസ്ക്കാരം
Anointing	അന്നാഭിഷേകം
അന്നില്പ്പക്ഷി	അന്നില്പ്പക്ഷി
Fifty	അന്പത്
Anpu	അന്പു്
Uncle	അന്പ്
Anfa	അന്ഫ
To another tribe	അന്യ ഗോത്രക്കാരന്
Other religion	അന്യ മതം
Alien	അന്യം
Alien	അന്യഗ്രഹ ജീവി
Alienation	അന്യത
Alienation	അന്യതം
Alien disease	അന്യതോപാകരോഗം
Alienation	അന്യത്വഭാവന
Of the other	അന്യന്ന്റ്റേത്
Enjoying the suffering of another	അന്യന്റെ കഷ്ടപ്പാടില്‍ രസിക്കുന്ന
Stranger	അന്യപുരുഷന്
Listening to the conversation of strangers	അന്യരുടെ സംഭാഷണം ശ്രദ്ധിക്കല്‍
Aliens	അന്യര്‍‍
അന്യസുരതിദുഖിത	അന്യസുരതിദുഃഖിത
Injustice	അന്യായം
Endure injustice	അന്യായംസഹിക്കുക
Injustice	അന്യായക്കാരന്
Reciprocity	അന്യോക്തി
Antarctica	അന്റാര്ട്ടിക്ക
Antarctic continent	അന്റാര്ട്ടിക്കന്ഭൂഖണ്ടം
Antrip	അന്റ്രിപ്
Application	അന്വയം
For the sake of	അന്വയാർത്ഥം
Anvadhan	അന്വാധാൻ
Invasion	അന്വാധി
Involuntary attention	അന്വാഷ്ടക ശ്രാദ്ധം
Anvahariya Shrandham	അന്വാഹാരിയ ശ്രാന്ധം
Investigator	അന്വേഷകന്‍
Investigators	അന്വേഷകര്
Investigation student	അന്വേഷണ വിദ്യാർഥി
Inquiry	അന്വേഷണം
Commission of Inquiry	അന്വേഷണക്കമ്മീഷന്
Inquiry	അന്വേഷിക്കൽ
Ansarasa	അന്സരസ
Disastrous	അനർത്ഥമായ
Anal	അനൽ
Danger	അപകടം
Accident	അപകടാവസ്ഥ
Defamation	അപകീര്ത്തി
Defamation.	അപകീര്ത്തി.
Defamation	അപകീർത്തിപ്പെടുത്തൽ
Defective dependent mucus decoration	അപകൃത ആശ്രിത ശ്ളേഷ അലങ്കാരം
Immature	അപക്വം
Immaturity	അപക്വകലുഷം
Infamy	അപഖ്യാതി
അപഗ	അപഗ
Decay	അപചയം
